Country,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Senegal,52.45,53.99,55.52,57.06,58.65,60.18,61.65,63.20,64.67,66.28,67.75,69.22,70.69,72.15,73.61,74.96,76.41,77.88
Seychelles,93.17,93.56,93.89,94.33,94.65,95.05,95.44,95.80,96.19,96.48,96.79,96.95,97.10,97.08,97.06,97.04,97.11,97.58
Sierra Leone,31.40,32.89,34.37,35.87,37.43,38.99,40.52,42.10,43.68,45.31,46.84,48.45,50.01,51.54,53.15,54.78,56.31,57.86
Somalia,23.78,26.41,29.02,31.62,34.20,34.66,37.81,40.99,44.15,47.31,49.76,52.27,54.75,57.24,59.79,62.24,64.23,67.04
South Africa,79.87,80.82,81.83,82.72,83.65,84.53,85.45,86.33,87.12,87.98,88.84,89.62,90.34,91.14,91.85,92.57,92.90,93.98
South Sudan,,,,,,,,,,35.10,37.20,39.28,41.26,43.31,45.36,47.47,49.50,51.62
Sudan,37.09,37.23,37.37,39.68,42.12,44.42,46.84,49.24,51.68,54.29,56.76,59.19,61.69,64.18,66.44,66.73,66.86,67.20
eSwatini,57.65,58.84,60.10,61.42,62.63,63.96,65.37,66.78,68.20,69.47,70.87,72.24,73.71,75.10,76.46,76.49,77.02,78.31
Tanzania,13.25,15.71,18.18,20.65,23.18,25.71,28.24,30.76,33.35,36.08,38.64,41.28,43.87,46.46,49.12,51.71,54.21,56.75
Togo,31.84,33.14,34.57,35.89,37.33,38.71,40.17,41.52,43.00,44.50,46.38,47.93,49.42,50.91,52.45,53.96,55.49,57.01
Tunisia,88.12,88.82,89.52,90.22,90.91,91.55,92.24,92.88,93.52,94.17,94.84,95.35,95.89,96.44,96.98,97.39,98.09,98.50
Uganda,39.39,40.54,41.72,42.90,44.11,45.28,46.51,47.69,48.92,50.30,51.51,52.76,53.87,55.06,56.18,57.43,58.37,59.80
Zambia,35.19,36.44,37.69,39.01,40.27,41.53,42.79,43.99,45.26,46.55,47.83,49.02,50.29,51.48,52.62,53.82,55.08,56.23
Zimbabwe,68.10,68.08,67.99,68.01,67.92,67.89,67.79,67.77,67.71,67.72,67.62,67.58,67.46,67.45,67.41,67.40,67.31,67.30
