Country,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Senegal,12.16,12.55,13.55,14.31,15.47,16.63,18.04,20.30,21.66,23.07,24.59,24.71,25.26,25.97,28.30,29.22,30.30,31.30
Seychelles,50.86,56.29,59.78,63.54,70.52,73.82,73.82,77.99,84.41,89.57,93.71,93.93,94.11,94.32,94.97,96.73,98.45,98.88
Sierra Leone,4.90,5.16,5.27,5.34,5.22,6.01,6.33,6.61,7.55,8.58,9.35,9.39,9.97,9.94,10.75,11.51,11.94,12.70
Somalia,1.55,1.69,2.11,2.25,2.51,2.68,2.68,2.81,2.79,3.17,3.36,3.36,3.40,3.36,3.60,4.53,4.79,5.66
South Africa,46.78,48.58,50.51,51.70,53.84,55.15,55.96,59.02,78.97,73.81,75.90,75.52,79.63,78.53,78.43,79.34,80.19,81.67
South Sudan,,,,,,,,,.01,4.34,4.92,4.94,4.55,4.60,4.58,5.28,5.80,6.51
Sudan,7.24,7.36,7.35,7.52,9.16,9.89,10.90,11.20,13.21,13.71,14.60,14.67,15.03,15.40,16.51,17.16,17.35,17.57
eSwatini,14.78,14.90,15.41,16.32,16.94,17.89,19.34,20.96,22.30,23.40,24.70,24.63,25.43,25.76,27.11,28.21,28.42,29.12
Tanzania,5.27,5.27,5.39,6.40,6.97,7.45,8.42,9.37,10.21,11.12,11.93,11.98,12.24,12.54,14.11,14.89,15.28,16.22
Togo,6.93,7.20,7.32,7.58,7.86,9.16,9.62,10.50,10.80,11.49,12.12,12.17,12.77,12.97,13.30,14.07,14.37,15.20
Tunisia,28.37,29.68,31.50,33.52,35.61,37.71,44.68,52.35,59.51,61.89,66.20,66.26,66.97,68.98,69.30,70.57,71.85,72.53
Uganda,11.03,11.33,11.58,12.07,12.50,13.42,15.19,16.04,17.88,18.61,19.81,20.00,20.18,20.62,21.17,21.97,22.13,22.64
Zambia,15.03,15.25,15.65,16.31,17.04,17.57,18.07,18.86,20.13,20.87,21.55,21.55,22.12,22.29,23.22,23.97,25.05,26.04
Zimbabwe,20.15,20.73,21.21,21.85,21.45,22.07,21.81,22.94,24.72,23.86,24.17,24.15,24.43,24.52,24.42,25.54,26.23,26.65
