Country,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Sierra Leone,.44,.38,.29,.17,.06,.10,.31,.29,.45,.45,.35,.31,.73,.76,.80,.85,.89,.95
Somalia,.40,.39,.38,.38,.38,.38,.39,.38,.37,.38,.39,.41,.42,.42,.42,.42,.41,.41
South Africa,73.22,77.09,79.57,78.58,80.05,82.38,79.35,75.39,78.09,77.62,75.38,75.40,78.21,76.01,74.03,73.89,76.09,76.73
South Sudan,,,,,,,,,.25,.27,.72,.70,.72,.84,.62,.62,.78,.79
Sudan,1.74,1.84,1.86,2.01,2.33,2.53,2.72,3.15,3.57,3.93,4.29,4.57,5.03,5.63,6.07,6.14,6.12,6.21
eSwatini,4.54,3.26,2.93,3.83,3.74,3.88,3.71,5.76,7.15,7.28,8.03,9.77,12.85,13.33,13.48,13.63,13.79,13.94
Tanzania,1.28,1.17,1.43,1.49,1.40,1.66,1.69,1.78,1.93,1.80,1.93,1.99,2.02,2.02,2.13,2.12,2.10,2.09
Togo,.43,.50,.51,.51,.58,.50,.28,.35,.41,.27,.22,.17,.34,.18,.58,.57,1.62,1.72
Tunisia,19.95,18.88,19.82,20.84,21.30,22.18,22.95,24.11,25.62,25.56,27.72,27.94,28.61,29.00,28.90,30.01,30.12,30.24
Uganda,1.05,1.07,1.12,1.09,.88,1.07,1.19,1.11,1.18,1.04,1.01,1.43,1.39,1.38,1.36,1.34,1.48,1.47
Zambia,12.34,12.26,12.23,12.52,13.21,12.81,12.32,12.43,12.75,13.62,14.21,14.81,15.60,14.06,11.87,11.67,12.75,12.52
Zimbabwe,11.93,12.19,13.43,12.89,13.36,11.52,10.71,12.11,10.57,11.28,11.09,11.70,12.08,11.52,8.24,8.47,8.88,9.14
